user_id,date,age,age_group,social_media_hours,work_or_study_hours,entertainment_hours,total_screen_time,primary_device,internet_type
339,9/16/2024,58,46-60,1.1,1.4,3.1,5.6,Laptop,Mobile Data
340,3/27/2024,21,19-25,1.9,1.4,0.7,4,Tablet,Mobile Data
341,6/6/2024,63,60+,2,3.7,1.2,6.9,Mobile,Mobile Data
342,6/20/2024,15,13-18,3.8,6.3,2.2,12.3,Mobile,Mobile Data
343,3/21/2024,59,46-60,0.9,6.3,0.6,7.8,Mobile,WiFi
344,8/11/2024,71,60+,3,4.5,1.8,9.3,Tablet,Mobile Data
345,5/25/2024,21,19-25,2.1,2.6,1,5.7,Laptop,Mobile Data
346,8/6/2024,45,36-45,3.3,1.2,1.9,6.4,Tablet,Mobile Data
347,3/1/2024,20,19-25,2.5,4.2,3.5,10.2,Mobile,Mobile Data
348,5/7/2024,21,19-25,1,4.6,0.5,6.1,Mobile,WiFi
349,6/2/2024,34,26-35,2.2,5,2.6,9.8,Mobile,WiFi
350,10/28/2024,62,60+,1.9,2.8,2.6,7.3,Mobile,WiFi
351,10/8/2024,47,46-60,1.1,3.4,1.4,5.9,Tablet,WiFi
352,11/18/2024,45,36-45,2.7,4,2,8.7,Tablet,Mobile Data
353,11/3/2024,52,46-60,0.5,1.7,2.3,4.5,Laptop,Mobile Data
354,8/9/2024,68,60+,3,4.7,0.9,8.6,Laptop,WiFi
355,7/10/2024,53,46-60,3.9,4.5,0.6,9,Mobile,Mobile Data
356,6/14/2024,72,60+,3.8,2.2,2.3,8.3,Laptop,WiFi
357,9/29/2024,15,13-18,1.2,2.4,0.7,4.3,Laptop,WiFi
358,7/31/2024,53,46-60,0.6,2.3,1.6,4.5,Mobile,Mobile Data
359,5/14/2024,25,19-25,1.5,2.4,2.6,6.5,Mobile,WiFi
360,12/2/2024,21,19-25,0.8,1.9,2.2,4.9,Mobile,WiFi
361,1/26/2024,39,36-45,1.8,6.3,2.5,10.6,Laptop,WiFi
362,3/7/2024,54,46-60,3.5,1.4,3,7.9,Laptop,WiFi
363,5/17/2024,27,26-35,1.6,4.4,1,7,Laptop,Mobile Data
364,5/31/2024,60,46-60,3.4,5,1.1,9.5,Mobile,Mobile Data
365,3/3/2024,43,36-45,1.4,1.6,1.1,4.1,Tablet,WiFi
366,6/11/2024,24,19-25,0.5,5.3,2.6,8.4,Mobile,Mobile Data
367,1/11/2024,73,60+,3.9,6.4,2.5,12.8,Laptop,WiFi
368,12/6/2024,30,26-35,3.1,6,2.5,11.6,Laptop,WiFi
369,9/25/2024,49,46-60,1.4,5,0.7,7.1,Tablet,Mobile Data
370,9/10/2024,22,19-25,2,2,2.6,6.6,Mobile,Mobile Data
371,1/5/2024,29,26-35,2.1,2.3,2.3,6.7,Laptop,Mobile Data
372,8/7/2024,24,19-25,2.7,2.8,1.3,6.8,Mobile,WiFi
373,11/24/2024,35,26-35,0.8,3,3.3,7.1,Laptop,WiFi
374,9/5/2024,65,60+,2.1,6.8,0.8,9.7,Mobile,WiFi
375,8/11/2024,42,36-45,1.1,4,0.7,5.8,Tablet,Mobile Data
376,1/9/2024,17,13-18,2.5,2.3,1.7,6.5,Tablet,WiFi
377,5/1/2024,61,60+,4,6.5,1.4,11.9,Mobile,WiFi
378,10/8/2024,22,19-25,3.5,1.3,2.7,7.5,Mobile,Mobile Data
379,1/27/2024,70,60+,1,5.2,1.6,7.8,Mobile,Mobile Data
380,10/29/2024,15,13-18,0.7,3.9,1.6,6.2,Laptop,WiFi
381,6/30/2024,40,36-45,3.9,5.6,2.8,12.3,Laptop,Mobile Data
382,4/16/2024,48,46-60,2.3,4.7,1.2,8.2,Tablet,Mobile Data
383,10/1/2024,40,36-45,2.9,4.5,2.3,9.7,Tablet,WiFi
384,9/4/2024,15,13-18,0.6,5.7,3.2,9.5,Mobile,Mobile Data
385,9/9/2024,20,19-25,3.1,5.5,2.6,11.2,Mobile,Mobile Data
386,7/23/2024,25,19-25,0.2,6.9,2.2,9.3,Mobile,Mobile Data
387,8/26/2024,18,13-18,3.6,3.9,0.9,8.4,Laptop,WiFi
388,5/17/2024,15,13-18,1.4,1,3.3,5.7,Tablet,WiFi
389,1/19/2024,58,46-60,3.4,3.1,1,7.5,Mobile,WiFi
390,3/23/2024,48,46-60,0.7,6.5,2.8,10,Tablet,WiFi
391,12/23/2024,35,26-35,2.3,2.5,1.8,6.6,Mobile,WiFi
392,9/3/2024,67,60+,0.7,3.8,0.6,5.1,Laptop,Mobile Data
393,4/1/2024,21,19-25,0.8,2.6,2.1,5.5,Tablet,WiFi
394,2/26/2024,39,36-45,3.8,2.2,2.1,8.1,Laptop,Mobile Data
395,4/9/2024,64,60+,1.6,3.5,2.7,7.8,Laptop,WiFi
396,2/12/2024,19,19-25,0.5,1.6,1.7,3.8,Tablet,Mobile Data
397,8/28/2024,32,26-35,2.1,3.2,2.8,8.1,Laptop,WiFi
398,10/20/2024,69,60+,0.2,2.9,2.2,5.3,Tablet,WiFi
399,3/8/2024,22,19-25,2.2,6.7,1.1,10,Tablet,Mobile Data
400,1/1/2024,35,26-35,3.1,2.4,1.4,6.9,Laptop,Mobile Data
401,6/9/2024,35,26-35,2.4,3.7,2.3,8.4,Laptop,WiFi
402,6/28/2024,51,46-60,2.2,6,0.6,8.8,Mobile,Mobile Data
403,9/7/2024,31,26-35,1.9,6.2,3.1,11.2,Mobile,Mobile Data
404,8/20/2024,20,19-25,3.6,3.8,1.9,9.3,Tablet,Mobile Data
405,10/25/2024,33,26-35,3.3,6.6,2.2,12.1,Mobile,Mobile Data
406,2/2/2024,36,36-45,2.6,6.9,3.4,12.9,Laptop,WiFi
407,8/30/2024,41,36-45,3.7,5.1,1.4,10.2,Laptop,Mobile Data
408,12/14/2024,74,60+,2.5,5,1.5,9,Laptop,WiFi
409,12/15/2024,51,46-60,0.2,3,1,4.2,Tablet,Mobile Data
410,12/26/2024,75,60+,2.5,4,2.8,9.3,Laptop,Mobile Data
411,9/25/2024,17,13-18,3.6,5.5,2.5,11.6,Laptop,WiFi
412,12/6/2024,54,46-60,2.3,3.1,2.4,7.8,Mobile,Mobile Data
413,2/14/2024,35,26-35,3.3,3.8,0.9,8,Laptop,Mobile Data
414,8/10/2024,33,26-35,1.7,4.7,1.5,7.9,Laptop,Mobile Data
415,12/27/2024,25,19-25,3.5,2.8,2.1,8.4,Laptop,Mobile Data
416,11/11/2024,17,13-18,3,3.3,2.5,8.8,Tablet,Mobile Data
417,12/12/2024,71,60+,2.7,3.2,3,8.9,Laptop,Mobile Data
418,1/9/2024,52,46-60,3.5,1.5,1.6,6.6,Mobile,WiFi
419,10/24/2024,58,46-60,2.5,1.8,2.5,6.8,Mobile,WiFi
420,1/1/2024,23,19-25,1.6,2.5,1.8,5.9,Mobile,WiFi
421,3/22/2024,68,60+,2.9,4.3,1.7,8.9,Mobile,WiFi
422,10/17/2024,31,26-35,2.6,1.3,1.8,5.7,Mobile,WiFi
423,4/5/2024,69,60+,3.5,4.8,1.9,10.2,Tablet,WiFi
424,11/18/2024,19,19-25,3.2,4.6,1.8,9.6,Mobile,Mobile Data
425,2/15/2024,48,46-60,1.4,2.4,2.6,6.4,Mobile,Mobile Data
426,1/6/2024,51,46-60,1,6.4,0.5,7.9,Mobile,Mobile Data
427,4/7/2024,56,46-60,3,4.5,2.5,10,Laptop,Mobile Data
428,12/13/2024,47,46-60,2.6,6.6,1.1,10.3,Laptop,Mobile Data
429,2/28/2024,69,60+,1.6,4.4,1.8,7.8,Mobile,Mobile Data
430,6/12/2024,67,60+,0.6,5.6,1.4,7.6,Laptop,Mobile Data
431,3/5/2024,54,46-60,3.5,2.7,2.7,8.9,Mobile,WiFi
432,11/22/2024,35,26-35,1.6,6.1,2.3,10,Mobile,Mobile Data
433,12/19/2024,21,19-25,4,4.1,1.4,9.5,Mobile,Mobile Data
434,5/26/2024,42,36-45,3.4,1.1,1.6,6.1,Laptop,WiFi
435,1/1/2024,71,60+,3.6,2.8,2.3,8.7,Tablet,WiFi
436,2/28/2024,53,46-60,3.9,2.9,2,8.8,Tablet,WiFi
437,1/1/2024,23,19-25,3.6,5.6,3.4,12.6,Mobile,WiFi
438,12/30/2024,40,36-45,2.2,4.9,2.2,9.3,Tablet,WiFi
439,7/6/2024,45,36-45,3.5,2.8,2.7,9,Tablet,WiFi
440,10/3/2024,25,19-25,2.1,6.1,1.5,9.7,Mobile,Mobile Data
441,9/19/2024,34,26-35,0.4,4.8,3.3,8.5,Laptop,Mobile Data
442,9/18/2024,30,26-35,3.5,4.4,2,9.9,Tablet,Mobile Data
443,9/30/2024,17,13-18,2.2,1.1,2.6,5.9,Mobile,Mobile Data
444,5/18/2024,44,36-45,4,5.6,1.6,11.2,Laptop,WiFi
445,5/9/2024,26,26-35,1.1,2.9,2.4,6.4,Laptop,Mobile Data
446,9/21/2024,40,36-45,2.6,4,0.8,7.4,Mobile,WiFi
447,12/16/2024,19,19-25,3.4,1.8,3.3,8.5,Mobile,Mobile Data
448,6/30/2024,16,13-18,2.1,1.2,1.3,4.6,Laptop,Mobile Data
449,2/14/2024,42,36-45,2.3,6,2.2,10.5,Laptop,Mobile Data
450,1/9/2024,45,36-45,1,2.1,3.3,6.4,Laptop,WiFi
451,12/2/2024,22,19-25,1.2,4.6,0.7,6.5,Mobile,WiFi
452,7/28/2024,25,19-25,2.8,3.7,3.2,9.7,Tablet,Mobile Data
453,12/27/2024,13,13-18,3.6,4.9,3.3,11.8,Laptop,WiFi
454,6/5/2024,14,13-18,1.3,2.6,0.6,4.5,Mobile,WiFi
455,1/26/2024,19,19-25,3.5,1.7,1.3,6.5,Tablet,Mobile Data
456,1/9/2024,73,60+,1.5,1.3,2.5,5.3,Mobile,Mobile Data
457,1/10/2024,20,19-25,0.7,5.1,3.4,9.2,Laptop,WiFi
458,8/11/2024,54,46-60,1.5,5.5,2.4,9.4,Laptop,WiFi
459,7/14/2024,37,36-45,0.3,2,2.7,5,Tablet,WiFi
460,11/9/2024,45,36-45,3.1,2.1,2.6,7.8,Mobile,WiFi
461,6/13/2024,43,36-45,1.2,2.1,2.4,5.7,Mobile,Mobile Data
462,6/1/2024,66,60+,3.9,2.7,0.6,7.2,Mobile,Mobile Data
463,11/19/2024,72,60+,0.2,1.8,2.9,4.9,Mobile,Mobile Data
464,7/17/2024,73,60+,1.1,1.7,2.5,5.3,Mobile,WiFi
465,11/17/2024,32,26-35,0.3,6.4,2.9,9.6,Mobile,WiFi
466,1/17/2024,18,13-18,0.3,6,0.9,7.2,Tablet,Mobile Data
467,5/25/2024,68,60+,1,4.3,0.7,6,Mobile,Mobile Data
468,1/7/2024,14,13-18,2.1,6.7,1.7,10.5,Laptop,WiFi
469,5/25/2024,65,60+,3.1,2.5,2.7,8.3,Tablet,WiFi
470,7/14/2024,18,13-18,0.6,2.3,3.1,6,Tablet,WiFi
471,9/28/2024,59,46-60,3.4,1.2,3,7.6,Mobile,WiFi
472,2/6/2024,52,46-60,0.4,6.1,3.2,9.7,Laptop,WiFi
473,5/11/2024,49,46-60,3.2,2.5,2.3,8,Laptop,WiFi
474,11/10/2024,22,19-25,2.3,2.1,1.8,6.2,Laptop,Mobile Data
475,7/25/2024,29,26-35,1.2,4.7,3.2,9.1,Laptop,WiFi
476,5/23/2024,47,46-60,1,5.3,3.2,9.5,Laptop,WiFi
477,8/1/2024,38,36-45,2,3.7,3.4,9.1,Mobile,WiFi
478,6/22/2024,71,60+,2.9,2.6,2.1,7.6,Mobile,Mobile Data
479,2/23/2024,56,46-60,1.7,4.1,1.7,7.5,Tablet,WiFi
480,12/14/2024,72,60+,3.8,3.9,3.3,11,Mobile,Mobile Data
481,1/2/2024,61,60+,3.7,4.3,3.2,11.2,Laptop,Mobile Data
482,10/3/2024,49,46-60,1.5,3.6,3.3,8.4,Mobile,WiFi
483,4/20/2024,40,36-45,3.8,2.6,3,9.4,Tablet,WiFi
484,3/25/2024,27,26-35,0.5,6.3,0.8,7.6,Laptop,WiFi
485,5/31/2024,13,13-18,0.8,5.2,1.4,7.4,Tablet,WiFi
486,10/11/2024,15,13-18,2.9,5.4,2.9,11.2,Mobile,WiFi
487,5/3/2024,24,19-25,1.6,1.5,0.7,3.8,Mobile,WiFi
488,9/8/2024,22,19-25,0.7,2.4,1.3,4.4,Laptop,WiFi
489,5/11/2024,32,26-35,3.7,1.8,0.6,6.1,Tablet,WiFi
490,10/1/2024,20,19-25,1,4.4,2,7.4,Mobile,Mobile Data
491,7/24/2024,40,36-45,1.7,3.6,2.3,7.6,Mobile,WiFi
492,12/26/2024,73,60+,3,1.8,1.8,6.6,Tablet,WiFi
493,5/9/2024,48,46-60,2.2,4.7,0.6,7.5,Laptop,WiFi
494,6/20/2024,75,60+,3.3,5.4,0.6,9.3,Tablet,WiFi
495,1/2/2024,18,13-18,2,6.7,3.4,12.1,Laptop,WiFi
496,1/29/2024,70,60+,2.8,2.5,2.3,7.6,Tablet,WiFi
497,9/1/2024,15,13-18,3.4,3.8,1.7,8.9,Tablet,Mobile Data
498,8/2/2024,31,26-35,2.1,1,1.4,4.5,Laptop,Mobile Data
499,7/12/2024,28,26-35,1.9,4.4,2,8.3,Mobile,Mobile Data
500,3/10/2024,28,26-35,0.4,5.2,3,8.6,Mobile,WiFi
501,11/20/2024,15,13-18,3.8,2,0.5,6.3,Mobile,WiFi
502,7/26/2024,58,46-60,0.3,3.7,1.9,5.9,Mobile,Mobile Data
503,2/8/2024,27,26-35,0.5,6.7,2.4,9.6,Laptop,WiFi
504,10/12/2024,20,19-25,1.8,5.8,1.1,8.7,Laptop,WiFi
505,1/17/2024,22,19-25,1.8,6.8,3,11.6,Tablet,WiFi
506,9/14/2024,15,13-18,2,6.2,2.1,10.3,Mobile,WiFi
507,3/11/2024,26,26-35,3.3,1.1,3.3,7.7,Tablet,WiFi
508,10/19/2024,20,19-25,0.6,1.4,2,4,Tablet,WiFi
509,5/17/2024,60,46-60,0.4,3.2,2.5,6.1,Laptop,WiFi
510,5/21/2024,27,26-35,2.3,4,2.8,9.1,Laptop,WiFi
511,10/13/2024,20,19-25,2.7,4.8,1.2,8.7,Mobile,Mobile Data
512,6/22/2024,65,60+,1.1,5.5,1.9,8.5,Mobile,Mobile Data
513,5/11/2024,23,19-25,1.3,2.9,0.6,4.8,Mobile,WiFi
514,6/21/2024,47,46-60,0.3,3.8,0.7,4.8,Laptop,Mobile Data
515,1/31/2024,39,36-45,3.8,1.1,1.4,6.3,Mobile,WiFi
516,3/21/2024,30,26-35,2.8,4.8,2.3,9.9,Mobile,Mobile Data
517,9/11/2024,68,60+,2.1,2.1,3.1,7.3,Tablet,Mobile Data
518,4/10/2024,35,26-35,1.7,4.2,1,6.9,Mobile,WiFi
519,2/23/2024,17,13-18,0.8,4.4,3.4,8.6,Tablet,WiFi
520,1/7/2024,25,19-25,0.3,5.7,2.1,8.1,Laptop,WiFi
521,7/23/2024,45,36-45,1.1,2.6,0.8,4.5,Laptop,Mobile Data
522,9/17/2024,44,36-45,0.5,3.2,2.3,6,Laptop,WiFi
523,10/7/2024,15,13-18,1.6,3.9,3.4,8.9,Tablet,WiFi
524,6/4/2024,59,46-60,3,3.4,3.4,9.8,Mobile,Mobile Data
525,8/15/2024,68,60+,1.5,5.6,1.7,8.8,Laptop,Mobile Data
526,10/3/2024,24,19-25,0.7,2.5,1.6,4.8,Mobile,WiFi
527,10/24/2024,42,36-45,3.5,5.5,0.5,9.5,Tablet,WiFi
528,3/1/2024,57,46-60,3.5,1.8,2.6,7.9,Mobile,Mobile Data
529,3/6/2024,25,19-25,1.5,3.9,2,7.4,Laptop,Mobile Data
530,8/15/2024,30,26-35,1.4,4.6,1.5,7.5,Mobile,WiFi
531,7/18/2024,33,26-35,1,3,2.9,6.9,Mobile,WiFi
532,4/19/2024,16,13-18,3.6,4.8,3.3,11.7,Laptop,WiFi
533,12/1/2024,48,46-60,3.6,1.9,2.8,8.3,Tablet,WiFi
534,4/10/2024,62,60+,1.9,6.2,1.1,9.2,Mobile,Mobile Data
535,9/12/2024,45,36-45,0.8,6.1,1.7,8.6,Tablet,WiFi
536,1/24/2024,31,26-35,1,5.3,1.3,7.6,Tablet,Mobile Data
537,6/27/2024,68,60+,0.5,1.4,1.8,3.7,Laptop,WiFi
538,12/6/2024,32,26-35,3.9,2.4,2.7,9,Tablet,WiFi
539,3/19/2024,23,19-25,2.1,6,0.6,8.7,Mobile,WiFi
540,12/16/2024,17,13-18,0.3,5.8,2.8,8.9,Tablet,Mobile Data
541,10/18/2024,25,19-25,3,4.7,1.1,8.8,Mobile,Mobile Data
542,4/7/2024,19,19-25,1.9,6.7,0.9,9.5,Mobile,WiFi
543,7/19/2024,32,26-35,0.8,6.9,0.6,8.3,Tablet,WiFi
544,12/17/2024,13,13-18,3.8,7,1.6,12.4,Laptop,WiFi
545,4/18/2024,31,26-35,2.7,5,1.6,9.3,Tablet,Mobile Data
546,7/29/2024,35,26-35,2.6,6.3,1.2,10.1,Mobile,Mobile Data
547,7/26/2024,43,36-45,1,4.8,3.3,9.1,Mobile,Mobile Data
548,11/2/2024,56,46-60,4,6.8,1.5,12.3,Tablet,Mobile Data
549,8/25/2024,59,46-60,1.7,1,2.9,5.6,Laptop,WiFi
550,5/5/2024,51,46-60,1.4,5.2,2.5,9.1,Mobile,Mobile Data
551,5/31/2024,41,36-45,2,5.3,3.1,10.4,Mobile,Mobile Data
552,4/30/2024,69,60+,3,3.7,1.1,7.8,Mobile,WiFi
553,11/6/2024,20,19-25,1.3,4.1,1.8,7.2,Tablet,Mobile Data
554,4/2/2024,13,13-18,2.6,5.8,2,10.4,Laptop,WiFi
555,11/5/2024,73,60+,1.4,4.5,1.2,7.1,Mobile,WiFi
556,9/4/2024,52,46-60,3.6,4.4,0.6,8.6,Tablet,WiFi
557,2/22/2024,20,19-25,0.4,2.1,0.7,3.2,Tablet,WiFi
558,3/27/2024,16,13-18,2.9,7,2.4,12.3,Mobile,WiFi
559,2/12/2024,31,26-35,0.5,4.5,0.7,5.7,Tablet,WiFi
560,5/20/2024,42,36-45,3.8,4.7,2.5,11,Tablet,Mobile Data
561,10/12/2024,36,36-45,0.6,6.7,2.6,9.9,Mobile,WiFi
562,6/9/2024,25,19-25,4,4.7,3.1,11.8,Tablet,WiFi
563,6/5/2024,42,36-45,1.3,1.6,2.7,5.6,Laptop,WiFi
564,6/19/2024,73,60+,1.7,6,1.6,9.3,Mobile,Mobile Data
565,3/10/2024,35,26-35,0.8,4.6,3.1,8.5,Mobile,WiFi
566,2/18/2024,24,19-25,1.4,1.6,3.1,6.1,Mobile,WiFi
567,11/11/2024,62,60+,0.6,6.4,1.3,8.3,Laptop,WiFi
568,11/27/2024,17,13-18,3.3,3.4,0.5,7.2,Tablet,Mobile Data
569,5/16/2024,24,19-25,1.1,1.9,2.5,5.5,Tablet,WiFi
570,11/23/2024,43,36-45,0.6,5.3,2.2,8.1,Laptop,Mobile Data
571,3/5/2024,70,60+,0.7,6,0.7,7.4,Tablet,Mobile Data
572,8/4/2024,60,46-60,0.6,5.2,1.9,7.7,Tablet,WiFi
573,7/11/2024,37,36-45,3.5,1,1.5,6,Mobile,Mobile Data
574,12/26/2024,43,36-45,3.3,6.6,3.3,13.2,Laptop,Mobile Data
575,8/7/2024,16,13-18,3.9,3.2,1.9,9,Tablet,WiFi
576,3/2/2024,26,26-35,3.9,4.4,0.6,8.9,Laptop,Mobile Data
577,12/23/2024,35,26-35,3.6,3,1.4,8,Laptop,Mobile Data
578,7/21/2024,67,60+,1.5,6.1,3.5,11.1,Tablet,Mobile Data
579,4/16/2024,72,60+,2.1,3,0.9,6,Tablet,WiFi
580,3/26/2024,44,36-45,0.8,6.1,2,8.9,Tablet,Mobile Data
581,1/26/2024,73,60+,3,6.8,2,11.8,Laptop,Mobile Data
582,3/31/2024,22,19-25,1,6.8,3,10.8,Laptop,WiFi
583,12/5/2024,15,13-18,3.2,4.5,3.4,11.1,Laptop,Mobile Data
584,6/19/2024,34,26-35,1.8,3.8,2.2,7.8,Laptop,WiFi
585,2/9/2024,47,46-60,0.8,2.1,1.6,4.5,Mobile,WiFi
586,8/11/2024,68,60+,2.9,4,1.2,8.1,Laptop,Mobile Data
587,6/4/2024,25,19-25,2.4,5.9,2.1,10.4,Mobile,Mobile Data
588,6/29/2024,27,26-35,2.5,2.4,1.9,6.8,Mobile,WiFi
589,11/15/2024,58,46-60,3.6,3.3,2.1,9,Mobile,Mobile Data
590,12/2/2024,41,36-45,2.6,3.8,2.9,9.3,Tablet,WiFi
591,3/15/2024,47,46-60,2.3,5.6,2.9,10.8,Tablet,WiFi
592,1/13/2024,63,60+,1.5,6.2,1.2,8.9,Laptop,Mobile Data
593,8/15/2024,17,13-18,1.9,5.8,3.4,11.1,Laptop,WiFi
594,6/14/2024,41,36-45,0.7,2.2,3.2,6.1,Mobile,WiFi
595,10/4/2024,32,26-35,3.6,6.1,1.1,10.8,Mobile,Mobile Data
596,3/22/2024,57,46-60,1.1,1.8,1.3,4.2,Tablet,Mobile Data
597,11/30/2024,32,26-35,1,5.6,2.5,9.1,Laptop,WiFi
598,4/10/2024,73,60+,2,1.3,1.9,5.2,Laptop,WiFi
599,6/17/2024,17,13-18,3.5,3.4,2.3,9.2,Laptop,Mobile Data
600,5/24/2024,55,46-60,2.2,4.4,3.2,9.8,Laptop,Mobile Data
601,1/16/2024,71,60+,3.4,2.6,2,8,Tablet,WiFi
602,8/13/2024,21,19-25,1.6,2.6,0.7,4.9,Mobile,Mobile Data
603,10/18/2024,16,13-18,1.3,1.3,2.4,5,Laptop,Mobile Data
604,2/24/2024,20,19-25,2.7,4.2,0.9,7.8,Laptop,Mobile Data
605,7/22/2024,14,13-18,0.4,3.4,2.8,6.6,Laptop,Mobile Data
606,8/20/2024,17,13-18,1.2,3.5,1.2,5.9,Mobile,Mobile Data
607,6/4/2024,75,60+,3.7,3.5,2.4,9.6,Tablet,WiFi
608,7/27/2024,46,46-60,2.5,4.6,0.6,7.7,Mobile,WiFi
609,11/23/2024,73,60+,0.9,2.5,1.6,5,Tablet,WiFi
610,9/24/2024,69,60+,3.4,6.2,1.6,11.2,Tablet,Mobile Data
611,6/21/2024,49,46-60,3.5,6.8,0.7,11,Mobile,WiFi
612,1/6/2024,51,46-60,3.9,3.5,1.6,9,Mobile,Mobile Data
613,11/4/2024,51,46-60,3,5,2.9,10.9,Laptop,WiFi
614,3/15/2024,15,13-18,3.5,3,2.6,9.1,Laptop,Mobile Data
615,4/1/2024,23,19-25,0.4,1.7,1.6,3.7,Laptop,WiFi
616,4/14/2024,39,36-45,2.2,6.9,2.3,11.4,Mobile,WiFi
617,5/25/2024,30,26-35,2.9,2.4,2.7,8,Laptop,Mobile Data
618,10/23/2024,56,46-60,3.6,1.2,1.1,5.9,Laptop,Mobile Data
619,2/5/2024,26,26-35,0.4,2.7,3,6.1,Laptop,Mobile Data
620,12/28/2024,43,36-45,2.3,3.1,0.5,5.9,Mobile,WiFi
621,9/3/2024,27,26-35,2.3,3.8,0.8,6.9,Tablet,WiFi
622,5/8/2024,50,46-60,3,6.1,2,11.1,Tablet,WiFi
623,5/4/2024,69,60+,2.9,5.1,1.4,9.4,Mobile,WiFi
624,12/19/2024,41,36-45,3.1,6.6,1.5,11.2,Laptop,Mobile Data
625,5/5/2024,60,46-60,3.8,2.7,2.2,8.7,Mobile,Mobile Data
626,3/17/2024,19,19-25,3.7,3.7,1.2,8.6,Laptop,Mobile Data
627,8/4/2024,28,26-35,3.6,2.8,0.7,7.1,Mobile,Mobile Data
628,4/29/2024,14,13-18,0.3,2.8,3.1,6.2,Laptop,Mobile Data
629,7/7/2024,46,46-60,1.4,1.3,2.3,5,Tablet,Mobile Data
630,11/15/2024,48,46-60,3,1.1,0.8,4.9,Mobile,WiFi
631,6/18/2024,59,46-60,1,6.7,1.8,9.5,Laptop,WiFi
632,3/22/2024,24,19-25,0.5,6.2,3.1,9.8,Laptop,WiFi
633,5/3/2024,16,13-18,1.3,6.2,1.6,9.1,Mobile,WiFi
634,10/22/2024,52,46-60,1.7,5.9,2.5,10.1,Mobile,Mobile Data
635,7/19/2024,19,19-25,3,1,0.8,4.8,Laptop,Mobile Data
636,11/28/2024,17,13-18,3.4,3.3,1.2,7.9,Tablet,WiFi
637,2/13/2024,70,60+,1.6,1.7,3.2,6.5,Laptop,Mobile Data
638,1/31/2024,39,36-45,0.5,3.7,0.9,5.1,Laptop,Mobile Data
639,9/4/2024,21,19-25,0.8,6.8,2.5,10.1,Mobile,WiFi
640,1/9/2024,42,36-45,1.1,5.5,2.9,9.5,Tablet,Mobile Data
641,5/18/2024,60,46-60,1.3,2.2,2.9,6.4,Tablet,Mobile Data
642,3/22/2024,18,13-18,3.2,4.6,0.9,8.7,Mobile,WiFi
643,3/14/2024,23,19-25,4,5.8,2.5,12.3,Laptop,WiFi
644,2/13/2024,14,13-18,3.9,1.5,2.8,8.2,Tablet,Mobile Data
645,8/18/2024,72,60+,1.9,4.5,3.2,9.6,Tablet,Mobile Data
646,5/25/2024,66,60+,3.9,2.6,0.7,7.2,Laptop,WiFi
647,8/25/2024,63,60+,0.7,5,3.1,8.8,Tablet,Mobile Data
648,7/1/2024,47,46-60,0.5,2.1,2.9,5.5,Tablet,WiFi
649,9/12/2024,28,26-35,3.5,4.1,2.6,10.2,Tablet,Mobile Data
650,6/16/2024,45,36-45,1.6,2.7,0.8,5.1,Tablet,Mobile Data
651,6/6/2024,20,19-25,2.9,3,1.2,7.1,Tablet,Mobile Data
652,5/25/2024,48,46-60,0.6,3.3,1,4.9,Mobile,Mobile Data
653,7/10/2024,18,13-18,2.3,2.5,0.7,5.5,Laptop,Mobile Data
654,6/21/2024,37,36-45,0.8,4.3,3.3,8.4,Mobile,WiFi
655,5/4/2024,30,26-35,3,6.1,3.1,12.2,Tablet,WiFi
656,3/8/2024,18,13-18,0.6,4.6,2.9,8.1,Tablet,WiFi
657,9/23/2024,73,60+,3.8,4.8,3.1,11.7,Laptop,Mobile Data
658,8/29/2024,60,46-60,0.5,2.5,2,5,Tablet,WiFi
659,4/27/2024,46,46-60,3.8,2.4,2.5,8.7,Tablet,Mobile Data
660,10/26/2024,57,46-60,3.8,3.2,0.9,7.9,Tablet,Mobile Data
661,9/11/2024,64,60+,3.2,6.4,2.5,12.1,Laptop,WiFi
662,3/20/2024,61,60+,2.1,3.2,2.9,8.2,Tablet,WiFi
663,3/19/2024,27,26-35,2.9,2.9,1.4,7.2,Mobile,Mobile Data
664,10/16/2024,69,60+,3.6,4,2.9,10.5,Mobile,Mobile Data
665,11/22/2024,33,26-35,2.7,1.4,2.6,6.7,Tablet,Mobile Data
666,8/20/2024,57,46-60,2.2,1.2,3.2,6.6,Mobile,WiFi
667,4/7/2024,55,46-60,3.6,6.7,1.1,11.4,Mobile,WiFi
668,11/3/2024,49,46-60,2.8,4.3,3.4,10.5,Mobile,WiFi
669,3/4/2024,17,13-18,3,2.3,0.9,6.2,Tablet,WiFi
670,10/10/2024,18,13-18,2.3,2.8,1.2,6.3,Laptop,Mobile Data
671,11/22/2024,59,46-60,3.1,5.2,2.5,10.8,Mobile,Mobile Data
672,5/30/2024,15,13-18,2,5.6,2.9,10.5,Tablet,WiFi
673,7/19/2024,40,36-45,2.6,2.3,2.5,7.4,Laptop,WiFi
674,5/16/2024,61,60+,3.9,5.3,2.7,11.9,Mobile,Mobile Data
675,4/15/2024,32,26-35,2.3,2.5,0.5,5.3,Laptop,WiFi
676,12/30/2024,51,46-60,0.3,5.1,1.6,7,Mobile,Mobile Data
677,2/29/2024,44,36-45,2.9,3.4,2.1,8.4,Laptop,WiFi
678,2/20/2024,41,36-45,4,1.8,2.6,8.4,Mobile,Mobile Data
